longitude,latitude,sq_error,RMSE_C
90.5,24.2,8.375824272014095,2.894101634707063
90.5,24.45,8.056383807964904,2.83837696720589
90.5,24.7,7.730810884945101,2.780433578588976
90.5,24.95,6.900276185795084,2.6268376778543217
90.75,22.2,6.603360671226078,2.5697005022426405
90.75,22.45,7.003824661721938,2.6464740054876676
90.75,22.95,7.900588651383141,2.810798578942138
90.75,23.2,8.462217920385463,2.908989157832229
90.75,23.45,8.865896378000858,2.9775655119578577
90.75,23.7,9.430049779875697,3.070838611825066
90.75,23.95,9.181853111343854,3.0301572750178916
90.75,24.2,8.862045739495265,2.9769188332057803
90.75,24.45,8.61135005409292,2.9345101898090116
90.75,24.7,8.281987139598188,2.8778441826475225
90.75,24.95,6.99319981046479,2.644465883777817
91.0,22.45,6.439255219471957,2.5375687615258737
91.0,22.7,7.629671778416064,2.7621860506519225
91.0,22.95,7.884503500052067,2.807935807680095
91.0,23.2,8.405111936493057,2.8991571079355216
91.0,23.45,9.134013517573866,3.0222530531995275
91.0,23.7,9.519822930524333,3.085421029701511
91.0,23.95,9.399134160036798,3.065800737170764
91.0,24.2,9.757533002153195,3.1237050120254946
91.0,24.45,9.683431378230674,3.1118212317275993
91.0,24.7,9.212590127949408,3.0352248891885107
91.0,24.95,7.846531130969266,2.8011660305967703
91.25,22.95,8.570232052917868,2.9274958672759674
91.25,23.2,8.627358181447878,2.9372364871504435
91.25,23.45,9.039285339573569,3.0065404270645635
91.25,23.95,9.333224126583156,3.0550325901016433
91.25,24.2,10.32757726137843,3.2136548136628535
91.25,24.45,10.606501388973813,3.2567624090458014
91.25,24.7,10.552192238586386,3.24841380347184
91.25,24.95,7.243916930505224,2.6914525688752575
91.5,22.45,7.463723223323217,2.731981556182841
91.5,22.95,8.573259244315087,2.928012849069329
91.5,24.2,9.868002600887408,3.14133770882524
91.5,24.45,10.39072329382954,3.2234644862057253
91.5,24.7,10.657625573824347,3.2646019012774508
91.5,24.95,7.066278599709394,2.658247279639235
91.75,22.45,6.7660946533285955,2.6011717846633267
91.75,22.7,6.996276496814391,2.645047541503629
91.75,22.95,7.987244705651318,2.8261713864610756
91.75,24.2,10.038488628999875,3.168357402345871
91.75,24.45,9.980013958860084,3.159116009085466
91.75,24.7,9.23475293662261,3.038873629590841
91.75,24.95,5.931703382469605,2.435508854935577
92.0,21.45,6.014474007124152,2.452442457454232
92.0,21.7,6.128335484240299,2.4755475120143218
92.0,21.95,6.202933558713333,2.4905689226988548
92.0,22.2,7.0879079111866625,2.662312511931434
92.0,22.45,7.8725315074642355,2.80580318402133
92.0,22.7,8.289747146040582,2.8791920995377476
92.0,22.95,8.753345121378475,2.958605266232465
92.0,23.2,7.990744935822023,2.8267905716239436
92.0,23.45,6.490632028016651,2.5476718839004073
92.0,24.45,9.091581285059346,3.0152249145062706
92.0,24.7,8.967979391768518,2.994658476649469
92.0,24.95,6.5687133811061855,2.562950132387711
92.25,20.95,6.1315506853418915,2.4761968187811507
92.25,21.45,6.208049261033538,2.491595725841883
92.25,21.7,5.982801962734488,2.4459766889188637
92.25,21.95,5.797164855132789,2.407730228894589
92.25,22.2,6.320168435279506,2.513994517750487
92.25,22.45,7.948105887402653,2.819238529710222
92.25,22.7,8.788001714575422,2.9644563944466147
92.25,22.95,7.583862184717654,2.7538812945945317
92.25,23.2,6.182780073090962,2.4865196707629242
92.25,23.45,4.454821919118244,2.1106449059750063
92.25,23.7,3.573075761757979,1.8902581204052475
92.25,24.7,9.180395325065483,3.0299167191633307
92.25,24.95,6.6986343225102525,2.5881720040426703
92.5,21.45,3.86415937488478,1.9657465184719978
92.5,21.7,3.5637824838365044,1.8877983165149037
92.5,21.95,3.846864266175008,1.9613424652964122
92.5,22.2,4.406807417452442,2.099239723674369
92.5,22.45,5.807663059500941,2.4099093467391963
92.5,22.7,5.752722612008427,2.3984833983182847
